Date,Close,
1/2/2024,4742.72,
1/3/2024,4722.01,
1/4/2024,4700.85,
1/5/2024,4691.44,
1/8/2024,4703.36,
1/9/2024,4736.27,
1/10/2024,4761.41,
1/11/2024,4795.49,
1/12/2024,4794.96,
1/16/2024,4770.8,
1/17/2024,4732.52,
1/18/2024,4756.02,
1/19/2024,4792.08,
1/22/2024,4855.62,
1/23/2024,4858.06,
1/24/2024,4891.13,
1/25/2024,4885.07,
1/26/2024,4892.62,
1/29/2024,4891.81,
1/30/2024,4925.04,
1/31/2024,4902.92,
2/1/2024,4867.7,
2/2/2024,4914.99,
2/5/2024,4949.29,
2/6/2024,4954.16,
2/7/2024,4977.89,
2/8/2024,4991.27,
2/9/2024,5001.06,
2/12/2024,5026.07,
2/13/2024,4952.48,
2/14/2024,4982.84,
2/15/2024,5006.11,
2/16/2024,5026.68,
2/20/2024,4988.68,
2/21/2024,4963.58,
2/22/2024,5045.18,
2/23/2024,5103.98,
2/26/2024,5093.7,
2/27/2024,5074.91,
2/28/2024,5064.19,
2/29/2024,5091.05,
3/1/2024,5102.59,
3/4/2024,4722.01,
3/5/2024,4700.85,
3/6/2024,4691.44,
3/7/2024,4703.36,
3/8/2024,4736.27,
3/11/2024,4761.41,
3/12/2024,4795.49,
3/13/2024,4794.96,
3/14/2024,4770.8,
3/15/2024,4732.52,
3/18/2024,4756.02,
3/19/2024,4792.08,
3/20/2024,4855.62,
3/21/2024,4858.06,
3/22/2024,4891.13,
3/25/2024,4885.07,
3/26/2024,4892.62,
3/27/2024,4891.81,
3/28/2024,4925.04,
4/1/2024,4902.92,
4/2/2024,4867.7,
4/3/2024,4914.99,
4/4/2024,4949.29,
4/5/2024,4954.16,
4/8/2024,4977.89,
4/9/2024,4991.27,
4/10/2024,5001.06,
4/11/2024,5026.07,
4/12/2024,4952.48,
4/15/2024,4982.84,
4/16/2024,5006.11,
4/17/2024,5026.68,
4/18/2024,4988.68,
4/19/2024,4963.58,
4/22/2024,5045.18,
4/23/2024,5103.98,
4/24/2024,5093.7,
4/25/2024,5074.91,
4/26/2024,5064.19,
4/29/2024,5091.05,
4/30/2024,5102.59,
5/1/2024,4722.01,
